Category,SoilDepthOptimal,AltitudeAbsoluteMin,RainOptimalMin,RainAbsoluteMin,SoilPHAbsoluteMax,ProductSystem,SoilDrainageOptimal,AltitudeOptimalMax,RainAbsoluteMax,RainOptimalMax,CropCycleMax,LatitudeOptimalMin,SoilSalinityOptimal,LatitudeAbsoluteMax,CropCycleMin,PlantAttributes,ClimateZone,SciName,SoilDrainageAbsolute,Photoperiod,AbioticSuscept,EcocropHabit,LatitudeAbsoluteMin,TemperatureAbsoluteMax,TemperatureAbsoluteMin,KillingTempEarlyGrowth,LightIntensityAbsoluteMax,LightIntensityAbsoluteMin,SoilTextureOptimal,SoilToxicityOptimal,SoilSalinityAbsolute,LatitudeOptimalMax,SoilTextureAbsolute,SoilPHOptimalMax,KillingTempRest,IntroductionRisks,EcocropPhys,LightIntensityOptimalMax,SoilFertilityAbsolute,LifeForm,AltitudeAbsoluteMax,SoilPHOptimaMin,SoilPHAbsoluteMin,LifeSpan,SoilFertilityOptimal,TemperatureOptimalMin,TemperatureOptimalMax,AltitudeOptimalMin,SoilDepthAbsolute,AbioticToler,SoilToxicityAbsolute,LightIntensityOptimalMin
,deep (>>150 cm),,,,,,,,,,,,,,,,,Piper methysticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Piper betle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus teocote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Piper longum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus tenuifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Piper nigrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus tabulaeformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus taeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus sylvestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus strobus var. chiapensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus roxburghii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus radiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus pseudostrobus var. oaxacana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus pseudostrobus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus ponderosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus pinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus pinaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus patula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus palustris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus oocarpa var. ochoterenai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus oocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus mugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus montezumae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus michoacana var. turmida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus michoacana var. cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus michoacana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,"Pinus merkusii, island provenances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus merkusii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus kesiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus hartwegii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus halepensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus greggii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus gerardiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus excelsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus elliottii ssp. elliottii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus durangensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus douglasiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus caribaea ssp. hondurensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus caribaea ssp. caribaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus caribaea ssp. bahamensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus sylvestris var. mongolica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus caribaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus canariensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pinus brutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus chiapensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus ayachuite var. Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus ayacahuite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pimpinella saxifraga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pimpinella anisum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pimenta racemosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Piliostigma thonningii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pimenta dioica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Pinguicula vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Piliostigma reticulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Picea morida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Picea abies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phytolacca dioica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phytolacca acinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Physalis peruviana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Physalis philadelphica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Phytolacca americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phyllocladus aspleniifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phragmites australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phragmites karka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Physalis alkekengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phragmites communis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phoenix reclinata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phormium tenax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phoenix dactylifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phoenix sylvestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Phleum pratense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Phleum alpinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phaseolus polyanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phaseolus lunatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phaseolus coccineus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phaseolus acutifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phalaris coerulescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phaseolus bracteatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phalaris canariensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phaseolus vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Phalaris arundinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Peucedanum ostruthium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Petroselinum crispum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Petasites hybridus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Petasites albus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Petalostigma pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Persoonia falcata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Persea americana ssp. west indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Persea americana ssp. mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Persea americana ssp. guatemalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Persea americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Perilla frutescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pericopsis mooniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pericopsis elata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pentaschistis airoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pentaclethra macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pennisetum villosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pennisetum setaceum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pennisetum schimperi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pennisetum purpureum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pennisetum polystachyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pennisetum pedicellatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pennisetum hohenackeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pennisetum glaucum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pennisetum clandestinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Peltophorum pterocarpum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Peltophorum africanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Peltandra virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Peltandra sagittifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Peganum harmala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pausinystalia yohimbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Phalaris aquatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Paulownia tomentosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pastinaca sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Passiflora quadrangularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Passiflora mollissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Paullinia cupana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pelargonium graveolens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Passiflora ligularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Passiflora laurifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Passiflora edulis var. flavicarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Passiflora edulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Paspalum wettsteinii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Passiflora edulis var. edulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Paspalum scrobiculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Paspalum plicatulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Paspalum plicatulum var. glabrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Paspalum notatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Paspalum urvillei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Paspalum nicorae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Paspalum guenoarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Paspalum distichum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Paspalum dilatatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Paspalum conjugatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Passiflora incarnata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Paspalum atratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Paspalidium desertorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Parthenium argentatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Parkinsonia aculeata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Parnassia palustris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Parkia speciosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Parkia biglobosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Parietaria officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Paraserianthes falcataria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Parinari nonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Papaver somniferum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Papaver bracteatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Panicum whitei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Papaver rhoeas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Parinari curatellifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panicum virgatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Panicum turgidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panicum trichocladum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panicum sumatrense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panicum repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Panicum pilosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panicum obtusum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Panicum natalense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Panicum maximum var. trichoglume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Panicum maximum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Panicum ecklonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panicum miliaceum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panicum coloratum var. coloratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Panicum coloratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Panicum antidotale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pangium edule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pandanus julianettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panax ginseng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Panicum coloratum var. makarikariense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Palaquium gutta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Paeonia officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pachystela msolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pachyrhizus erosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pachyrhizus tuberosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Panax quinquefolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Pachyrhizus ahipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Ottochloa nodosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oxalis tuberosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oxytenanthera nigrociliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Osmunda regalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oryzopsis miliacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oryza sativa ssp. javanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oryzopsis holciformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Oxalis acetosella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oryza sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oryza sativa ssp. indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Oryza glaberrima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Orthosiphon aristatis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Orobanche flava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
